customer_id,customer_name,email,phone,City,State,signup_date
CUST0001,Simon Iyer,simon.iyer15@gmail.com,141307426,Lucknow,Uttar Pradesh,2023-08-17
CUST0002,Matthew Doshi,matthew.doshi4@gmail.com,937340205,Mumbai,Maharashtra,2024-08-09
CUST0003,Aradhana Subramaniam,aradhana.subramaniam76@outlook.com,9400016158,Pune,Maharashtra,13-06-2023
CUST0004,Oni Jain,oni.jain12@gmail.con,165371224,Delhi,Delhi,2024-09-10
CUST0005,Darika Bala,darika.bala71@outlook.com,,Delhi,Delhi,2024-06-01
CUST0006,Anthony Randhawa,anthony.randhawa30@gmail.com,65107437307,Delhi,Delhi,2024-10-12
CUST0007,George Menon,george.menon82@yahoo.com,1349680093,Jaipur,Rajasthan,17-06-2023
CUST0008,Ikshita Bhavsar,ikshita.bhavsar42@gmail.com,9539787558,Lucknow,Uttar Pradesh,20-11-2023
CUST0009,Chaitanya Dar,chaitanya.dar84@gmail.con,4193439615,Bengaluru,Karnataka,2024-04-14
CUST0010,Wriddhish Nanda,wriddhish.nanda75@gmail.con,1102902524,Nagpur,Maharashtra,2024-05-06
CUST0011,Aarna Dey,aarna.dey88@gmail.con,57264212317,Chandigarh,Chandigarh,2024-01-26
CUST0012,Chakradev Sura,chakradev.sura93@gmail.com,7239290500,Lucknow,Uttar Pradesh,2023-10-01
CUST0013,Liam Char,liam.char93@outlook.com,9030231481,Surat,Gujarat,2024-03-06
CUST0014,Unni Comar,unni.comar48@yahoo.com,4455645513,Bengaluru,Karnataka,2023-01-01
CUST0015,Ojasvi Aggarwal,ojasvi.aggarwal8@yahoo.com,8189707704,Bengaluru,Karnataka,29-03-2023
CUST0016,Ekta Sastry,ekta.sastry85@gmail.con,4240601145,Bengaluru,Karnataka,29-09-2023
CUST0017,Ayaan Thaker,ayaan.thaker40@gmail.con,8806289343,Surat,Gujarat,18-01-2024
CUST0018,Nakul Deep,nakul.deep76@yahoo.com,8616858276,Mumbai,Maharashtra,14-03-2023
CUST0019,Vasana Kant,vasana.kant66@yahoo.com,54592949052,Delhi,Delhi,2023-08-08
CUST0020,Gunbir Dyal,gunbir.dyal61@gmail.con,9655494235,Chandigarh,Chandigarh,2024-11-05
CUST0021,Mugdha Chopra,mugdha.chopra52@outlook.com,7351662702,Mumbai,Maharashtra,2023-09-12
CUST0022,Madhav Vig,madhav.vig10@gmail.con,9047387400,Bengaluru,Karnataka,2023-11-04
CUST0023,Xalak Dube,xalak.dube53@gmail.con,76063329628,Bengaluru,Karnataka,2023-03-02
CUST0024,Pooja Chatterjee,pooja.chatterjee55@gmail.con,89465227064,Hyderabad,Telangana,2023-08-11
CUST0025,Mekhala Lanka,mekhala.lanka75@gmail.con,4082715908,Mumbai,Maharashtra,2023-06-11
CUST0026,Krish Bora,krish.bora31@gmail.con,9092148293,Lucknow,Uttar Pradesh,2023-10-09
CUST0027,Inaya Sehgal,inaya.sehgal34@yahoo.com,77253111039,Nagpur,Maharashtra,2023-09-02
CUST0028,Panini Chanda,panini.chanda59@gmail.com,3771687187,Mumbai,Maharashtra,2024-02-06
CUST0029,Naksh Das,naksh.das21@gmail.con,7989505506,Hyderabad,Telangana,2023-06-11
CUST0030,Ekalinga Mand,ekalinga.mand85@gmail.com,3304047087,Nagpur,Maharashtra,28-09-2023
CUST0031,Robert Tiwari,robert.tiwari44@yahoo.com,75521828292,Surat,Gujarat,2024-06-01
CUST0032,Dayita Hayre,,877217889,Indore,Madhya Pradesh,2024-10-14
CUST0033,Bimala Sethi,bimala.sethi10@yahoo.com,,Delhi,Delhi,2024-08-19
CUST0034,Baljiwan Bora,baljiwan.bora46@yahoo.com,5406667127,Nagpur,Maharashtra,16-04-2023
CUST0035,Jyoti Manne,jyoti.manne31@yahoo.com,4574016874,Nagpur,Maharashtra,27-02-2024
CUST0036,Ekantika Raval,ekantika.raval21@gmail.com,3353511846,Hyderabad,Telangana,26-04-2024
CUST0037,Kalpit Sunder,kalpit.sunder4@yahoo.com,17818884436,Bengaluru,Karnataka,13-03-2023
CUST0038,Bhanumati Nayak,bhanumati.nayak15@outlook.com,83035405470,Mumbai,Maharashtra,2023-02-09
CUST0039,Advika Chakraborty,advika.chakraborty74@yahoo.com,8991266559,Kolkata,West Bengal,22-03-2024
CUST0040,Ekalinga Gala,ekalinga.gala56@gmail.com,69606154037,Chennai,Tamil Nadu,30-09-2024
CUST0041,Radhika Tiwari,radhika.tiwari53@outlook.com,56916845678,Lucknow,Uttar Pradesh,21-07-2024
CUST0042,Chatura Shere,chatura.shere73@outlook.com,4520055158,Jaipur,Rajasthan,2023-11-08
CUST0043,Gabriel Swamy,gabriel.swamy57@yahoo.com,9443009241,Pune,Maharashtra,2023-06-23
CUST0044,Lakshmi More,lakshmi.more97@yahoo.com,3058223981,Indore,Madhya Pradesh,2023-07-23
CUST0045,Ucchal Khanna,ucchal.khanna54@yahoo.com,1257218646,Pune,Maharashtra,2024-05-21
CUST0046,Radhika Aurora,radhika.aurora55@yahoo.com,2204258337,Chandigarh,Chandigarh,14-06-2024
CUST0047,Isaac Sachdeva,isaac.sachdeva60@outlook.com,37831210735,Chandigarh,Chandigarh,2024-09-19
CUST0048,Keya Dhingra,keya.dhingra21@gmail.con,9655092670,Nagpur,Maharashtra,2024-10-14
CUST0049,Faraj Pandey,faraj.pandey92@outlook.com,10859558839,Delhi,Delhi,24-11-2023
CUST0050,Brinda Borra,brinda.borra28@gmail.com,5829685697,Surat,Gujarat,2024-07-09
CUST0051,Jalsa Acharya,jalsa.acharya98@gmail.con,60769128731,Indore,Madhya Pradesh,2023-02-11
CUST0052,Kala Arora,kala.arora29@outlook.com,9628135429,Pune,Maharashtra,2024-02-03
CUST0053,Chameli Narayan,chameli.narayan17@gmail.com,9246324983,Nagpur,Maharashtra,31-07-2024
CUST0054,Anika Halder,anika.halder34@gmail.con,31271524157,Mumbai,Maharashtra,2023-12-01
CUST0055,Vidhi Mannan,,4595422813,Hyderabad,Telangana,2023-02-23
CUST0056,Advay Boase,advay.boase4@yahoo.com,3055442771,Chandigarh,Chandigarh,28-09-2024
CUST0057,Anmol Bava,anmol.bava90@outlook.com,4490454788,Pune,Maharashtra,2024-12-09
CUST0058,Wazir Sachdev,wazir.sachdev75@gmail.com,9771217475,Delhi,Delhi,24-11-2024
CUST0059,Zansi Kota,zansi.kota90@outlook.com,,Delhi,Delhi,2023-04-05
CUST0060,Netra Deep,,89948586530,Delhi,Delhi,16-05-2024
CUST0061,Pahal Shan,pahal.shan23@outlook.com,9638944070,Kolkata,West Bengal,2024-10-05
CUST0062,Krish Dash,krish.dash12@outlook.com,5591078141,Indore,Madhya Pradesh,20-04-2024
CUST0063,Chaaya Bobal,chaaya.bobal63@yahoo.com,51104014778,Bengaluru,Karnataka,15-12-2023
CUST0064,Teerth Behl,teerth.behl31@gmail.con,1909370437,Delhi,Delhi,2024-08-12
CUST0065,Nandini Andra,nandini.andra52@yahoo.com,5968459088,Bengaluru,Karnataka,13-01-2024
CUST0066,Abeer Char,abeer.char90@gmail.con,11691224613,Chennai,Tamil Nadu,25-08-2023
CUST0067,Tanish Mander,tanish.mander28@gmail.con,2349874353,Bengaluru,Karnataka,21-06-2024
CUST0068,Aadi Zacharia,aadi.zacharia39@gmail.com,2786326607,Bengaluru,Karnataka,2023-10-08
CUST0069,Qadim Kohli,qadim.kohli2@outlook.com,43726294091,Delhi,Delhi,2023-12-15
